trigger_id,allergen_id,condition_id
1,501,1
2,502,1
3,503,1
4,504,1
5,505,1
6,506,1
7,507,1
8,508,1
9,509,1
10,510,1
11,511,1
12,512,1
13,513,1
14,514,1
15,515,1
16,516,1
17,517,1
18,518,1
19,519,1
20,520,1
21,521,1
22,522,2
23,523,2
24,524,2
25,525,2
26,526,2
27,527,2
28,528,2
29,529,2
30,530,2
31,531,2
32,532,2
33,533,2
34,534,2
35,535,2
36,536,2
37,537,2
38,538,2
39,539,2
40,540,2
41,541,2
42,542,2
43,543,2
44,544,2
45,545,2
46,546,2
47,547,2
48,548,2
49,549,2
50,550,2
51,551,2
52,552,2
53,553,3
54,554,3
55,555,3
56,556,3
57,557,3
58,558,3
59,559,3
60,560,3
61,561,3
62,562,3
63,563,3
64,564,3
65,565,3
66,566,3
67,567,3
68,568,3
69,569,3
70,570,3
71,571,3
72,572,3
73,573,3
74,574,3
75,575,3
76,576,3
77,577,3
78,578,3
79,579,3
80,580,3
81,581,3
82,582,3
83,583,3
84,584,3
85,585,4
86,586,4
87,587,4
88,588,4
89,589,4
90,590,4
91,591,4
92,592,4
93,593,5
94,594,5
95,595,5
96,596,5
97,597,5
98,598,5
99,599,5
100,600,5
101,601,5
102,602,5
103,603,5
104,604,5
105,605,5
106,606,5
107,607,5
108,608,5
109,609,5
110,610,5
111,611,5
112,612,5
113,613,5
114,614,5
115,615,5
116,616,5
117,617,5
118,618,5
119,619,5
120,620,5
121,621,5
122,622,5
123,623,5
124,624,5
125,625,5
126,626,5
127,627,6
128,628,6
129,629,6
130,630,6
131,631,6
132,632,6
133,633,6
134,634,6
135,635,6
136,636,6
137,637,6
138,638,6
139,639,6
140,640,7
141,641,7
142,642,7
143,643,7
144,644,7
145,645,7
146,646,7
147,647,7
148,648,7
149,649,7
150,650,7
151,651,7
152,652,7
153,653,7
154,654,7
156,656,8
157,657,8
158,658,8
159,659,8
160,660,8
161,661,8
162,662,8
163,663,8
164,664,8
165,665,8
166,666,8
167,667,8
168,668,8
169,669,8
170,670,8
171,671,8
172,672,8
173,673,8
174,674,8
175,675,8
176,676,8
177,677,8
178,678,8
179,679,8
180,680,8
181,681,8
